Actor, Number of Movies
Nicola Di Pinto, 4
Jean Marsh, 8
Franca Marzi, 1
Salem Zahrouni, 1
Paul Beane, 1
Wally Brown, 4
Richard Baird, 2
Frank Lovejoy, 2
Leon Tejwani, 1
Douglas Newell, 1
Ángela Molina, 2
Juno Dawson, 2
Meg Weldon, 2
Randy Becker, 1
Tico Wells, 4
Russell Hall, 1
Jean Marais, 1
Artyom Strelnikov, 2
Jeff Daniels, 36
Craig Parker, 3
Steve Borden, 1
Benjamin Ayres, 2
Dana Ivey, 26
Anthony Eisley, 1
Elaine Tse, 1
Karl Johnson, 6
Alexandre Borges, 3
Patrick Dillett, 1
Paul Rylander, 1
John Rowe, 1
Felix Silla, 2
Laurie O'Brien, 3
Carly Nahon, 4
Marshall Neilan, 2
Suzanna Hamilton, 5
Fernando Chien, 1
Eva Rodriguez, 2
Anne Meara, 9
Katharine Levy, 2
Jack Rader, 3
Mike Brendel, 1
Cristine McMurdo-Wallis, 1
Syd Heylen, 5
Herbert Bress, 1
Lawrence Ah Mon, 1
George Peck, 5
Billy Gardell, 5
Gusti Huber, 1
José Dumont, 3
Anthony Pena, 2
Justin Henry, 5
Brian Jacobs, 3
Milla Jovovich, 28
Roddy Skeaping, 2
Robert Broyles, 3
Muktu Lhakpa Sherpa, 2
Max Fairchild, 1
Mark Ginther, 3
Meg Foster, 14
Devon Murray, 2
Manik, 1
Laura Rasmussen, 1
Richard Altman, 1
Amelda Brown, 2
Gábor Bohus, 1
Dagmar Stríbrná, 1
Anthony Geary, 2
Dwight Ewell, 6
Carolyn Gold, 2
Michiyo Bandô, 1
Whit Crawford, 1
Davenia McFadden, 6
Wilson Grey, 3
Aaron Freeman, 2
Brian Gill, 1
Frank Bardacke, 1
Colin Gilbert, 3
Betty Thomas, 1
Lurie Poston, 2
Susannah York, 9
Wally Dunn, 1
Arjan ten Broecke, 1
Bill Murdoch, 1
Jennifer Youngs, 1
Joan Favreau, 1
Erik Jelde, 1
David Pevsner, 1
Junko Iwao, 1
Joan Glover, 1
Luba Goy, 1
Divya Satia, 1
Jennie Silfverhjelm, 1
Ayo Adeyemi, 1
Buckley Ranks, 1
Martin Eric, 1
Cesare Mazzonis, 1
Fritz Leiber, 2
Dom Magwili, 4
Alberto Jiménez, 3
Shuangbao Wang, 1
Shih-Jay Lin, 1
Bailey Garno, 1
Marcus Smythe, 1
Vyacheslav Naumenko, 1
David Gasster, 1
James Tien, 2
Alice Rawlings, 1
Cari Conboy, 1
David Alan Barclay, 2
Mary Hughes, 1
James Henderson, 2
G. Eric Miles, 1
Ken Heron, 2
Matt Carmody, 1
Jeff Harding, 2
Zhizhung Lik, 1
Elizabeth Cohen, 1
Isaiah Garcia, 1
Abner Genece, 1
Jean Daurand, 1
Glenda Linscott, 1
Julanne Chidi Hill, 1
Alexandra Pelosi, 1
Eric Neumann, 1
Darelle 'Dino' Butler, 1
Jean Lodge, 1
Alana Austin, 2
Robin Hurlstone, 3
Richard Jordan, 15
Daniel DuPlessis, 1
Alfonso Zayas, 1
Maksim Munzuk, 1
Cynthia Baker, 1
Jesse Hutch, 1
Vince Camiti, 1
Paget Brewster, 7
Kari Matchett, 4
Steve Reed, 2
Ollie Ryall, 1
Elizabeth Liebel, 1
Brandon Ratcliff, 1
Jay Thomas, 9
Sarah Trigger, 7
Steven Robertson, 7
Clarence Graham, 1
Stellan Skarsgård, 44
Sterling Morrison, 1
Richard Jenkins, 50
Preity Zinta, 1
Guy Rennie, 2
Hope Alexander-Willis, 2
Eszter Bíró Kiss, 1
Ales Hanak, 1
Matt Damon, 53
Jose Yenque, 2
Paul McVey, 2
Taryn Manning, 6
Brad Bellamy, 1
Paul Larson, 2
Valerie Cruz, 1
Brian Mathis, 1
Phil Kaufman, 1
Kareem Abdul-Jabbar, 2
Chris Frantz, 2
Pauline Lynch, 2
Jimmy Scott, 1
John F. O'Donohue, 2
Nicola D'Eramo, 1
Edward Ashley, 1
Tyne Daly, 5
Edd Byrnes, 4
Max Pirkis, 4
Prudence Liew, 1
Jacques Branchu, 1
Dell Aldrich, 1
Bin Wu, 1
Michael Redgrave, 5
Angela Gardner, 1
Berry Kroeger, 2
Rickie Sorensen, 1
Al Michaels, 3
R.J. Parnell, 7
Themba Nkosi, 1
Ferdinand Schuster, 1
Günther Maria Halmer, 2
Jason Garner, 1
Phelim Drew, 2
Cathy Downs, 2
George Belbin, 3
Stefan Zimmermann, 1
Hugh Morton, 1
Brandon Kaplan, 2
Milo, 2
Bob Elliott, 3
Serena Sande, 1
John Sarno, 1
Kirk Cameron, 3
Bob Clendenin, 5
Ankie Spitzer, 1
Thomas McHugh, 2
Frances de la Tour, 1
William Duell, 9
Ursula Ryan, 1
Tom Chatto, 1
Stefan Niemczyk, 3
Blackie Dammett, 2
Will Wright, 4
Seol-ri Choi, 1
Petri Heino, 1
Sigrid Valdis, 1
David Paetkau, 6
William Wallace, 2
Joseph Pupo, 2
David Hoflin, 1
Enzo Fiermonte, 1
Leslie Phillips, 12
Franz Brumbach, 2
Toby Huss, 10
Roddy 'Two Eagle' Randall, 1
Hyeok-i Kim, 1
Aleka Paizi, 1
Somjin Chimwong, 1
Pamela Franklin, 2
Robert Ginnaven, 2
Gregory Moore, 1
Robert Hines, 5
Marion Cotillard, 6
Michael Mayer, 1
Péter Andorai, 1
Carel Struycken, 11
Bernard Otieno Oduor, 1
Richard Sutton, 1
Lawrence Grant, 3
Christy Chung, 3
Angela Ponos, 1
Darlene Vogel, 2
Valérie Bonneton, 3
Angelo Spizzirri, 3
Lyn Edgington, 2
Joseph Barbieri, 1
Grant Glendinning, 1
Gus Lynch, 6
Erik Stolhanske, 4
Paul McGrath, 2
Leonard Maltin, 2
André Weber, 1
Birthe Neumann, 2
William Cort, 3
J.D. Cannon, 3
Morgan Lily, 6
Norma Aleandro, 2
Myles Cleveland, 1
Jean-Louis Debard, 1
Megan Morris, 2
Roderick Lam, 1
Christopher George, 3
Marc Figueroa, 4
Olivia Colman, 1
Jack Coleman, 1
Molly Sims, 3
Eithne McGuinness, 1
Terry Ann Ross, 1
Brent David Fraser, 1
Sachiko Fujii, 2
Anthony Daniels, 16
Carlos Gómez, 8
Don Berry, 1
Hunter Parrish, 5
Jason Dixie, 1
James Garrett, 1
Daniel Roebuck, 16
Marvin Chatinover, 5
Gabriella Herzberg, 1
Ona Grauer, 2
Abigail Burdess, 1
Marylouise Burke, 9
The Gypsies, 1
Elizabeth Sung, 2
Tudi Wiggins, 2
William Atlas Cole, 1
Lisa Eisner, 1
Hulk Hogan, 7
Leopold Zieser, 1
Glynnis O'Connor, 4
Zeynep, 1
Rosina Kambus, 1
Shanti Hiranand, 1
Benny 'Papa Zita' Benjamin, 1
Aurora Miranda, 2
César Vea, 1
Anthony Powers, 2
Elden Henson, 17
Bernard Bouix, 1
Sid Kaiser, 1
Mike Marris, 1
John Hazelwood, 1
Imelda Colindres, 2
John Vernon, 22
Hermann Zapf, 1
Ronald G. Joseph, 2
Stuart Regen, 2
Bert Lahr, 4
Dieter 'Dietman' Busch, 1
Colleen Winton, 1
Ziable Honoré Goore Bi, 1
George Meader, 1
Michèle Gleizer, 1
James Bobbish, 1
Tammy Filor, 1
Bob Swaim, 1
D. Montgomery, 1
Joey Albright, 1
Miguel Bosé, 2
Joseph Carberry, 3
Jean-Pierre Gonthier, 1
Jack Messinger, 1
Zane Meas, 2
Vanessa Crane, 1
Hank Patterson, 3
Paul David Magid, 2
Karen Gayle, 1
Kate Orsini, 1
April Telek, 2
Archie Posada, 1
Monti Ellison, 1
Virginia Gilmore, 1
Eric Avery Weiss, 1
Kelsey Daniels, 1
Luigina Rocchi, 1
Bernadette Speakes, 2
Arthur Gross, 1
Marie Sabouret, 1
Stacy Manning, 2
Court Miller, 2
Jake Carpenter, 2
Ilona Elkin, 2
Nicholas Gilbert, 3
Paul Denniston, 1
John McGlynn, 2
Natasha Humphrey, 1
Anne Pollack, 2
Darrell Dennis, 1
Vít Olmer, 1
Hitler Wong, 1
Steve Michaels, 1
Jean-Claude La Marre, 5
Nélson Diniz, 1
Jackson Barton, 2
Jayd Johnson, 1
Thérese Cantin, 1
Carmine Paolini, 1
The Allies, 1
Franck Richard, 1
Ken'ichi Matsuyama, 1
Jae-hyeong Jeon, 4
Marion O'Dwyer, 1
Kevin Rankin, 3
Kappei Matsumoto, 1
Robert Milli, 2
Gary Bleasdale, 1
Emiliano Guerra, 2
Eun-sook Nam-kung, 1
Marzena Trybala, 1
Jilda Trolio, 1
Cary Wilmot Alden, 1
Daran Norris, 5
S. Rodriguez, 1
Masao Shimizu, 6
Jonathan Erich Drachenberg, 4
Roy Fegan, 2
Kirk Fox, 2
Shane McCamey, 1
T.J. Jagodowski, 3
Joe Seakatsie, 2
Dewey Robinson, 1
Chad Stahelski, 1
Gísli Halldórsson, 1
Pierre Franckh, 1
Cam Clarke, 6
Millie Slavin, 2
George Brandt, 1
Quinton Aaron, 3
Valerie Gearon, 1
Shane Vajda, 1
Brenda Beck, 1
Stuart Proud Eagle Grant, 2
Maximilian Artajo, 2
Robbie Bryan, 1
Victoria Snow, 2
John Tull, 1
John Apicella, 2
Gilda Texter, 2
Kaz Garas, 3
Will MacMillan, 4
Memphis Bleek, 1
Alexandra Root, 2
Frederick Parslow, 2
Vince Colosimo, 4
Crenguta Hariton, 2
Linda McCann, 2
Chia-lin Chu, 1
Alicia Sánchez, 1
Bryan Smith, 2
Lois Saunders, 3
Robert Pierce, 1
Frank Opperman, 1
Phillip Powers, 1
Monique St. Pierre, 1
Tony Mamet, 2
John Pinette, 1
Julia Mendoza, 1
Isobel Hawking, 1
Gotaro Tsunashima, 1
Roger Serbagi, 1
Cynthia Garris, 5
Naoki Matsuda, 1
Terrence Garmey, 1
Amy Goodman, 1
Percy Marmont, 3
J. Adam Brown, 2
Felipe Rose, 1
Mariano Rigillo, 1
Shira Roth, 1
John Hinnigan, 1
Chad Christ, 3
Rory Campbell, 1
Nicole Frilot, 1
Teddy Castellucci, 2
Martin Casella, 4
Bobby Lockwood, 1
Kelsey Chapman, 1
Roberto Herlitzka, 1
Gisela Gernstl, 1
Marthe Villalonga, 4
Kevin Michael Richardson, 16
Matthew Cassel, 1
Mario Cantone, 5
Michael Weaver, 3
Paul Stacey, 3
Devin Deray, 1
Jill Clifford, 1
Robert Axelrod, 4
Claudio Bernardo, 1
Janaya Stephens, 2
Michael Zorek, 4
P.J. Soles, 12
Erik Estrada, 2
Bernard Blier, 1
Virginia Patton, 3
Vera Miles, 10
Benjamin Bratt, 18
Collin Thornton, 1
Laurel Severin, 1
John Badila, 3
Yûka, 1
Eric Bruskotter, 11
Cynthia Adler, 2
Kristen Wilson, 10
Anna Grace, 1
Council Cargle, 1
Anne Marie McEvoy, 2
Leonard Manalansan, 1
Paul Marco, 3
Brandy Little, 1
Zachary Scott, 2
Yasuomi Sano, 1
José Gerardo Zamora Jr., 1
Diana Quick, 5
Robin Hart, 1
Ryszard Ronczewski, 1
Ákos Tolnay, 2
Mark DeCarlo, 2
Cora Bisset, 1
Steve Jones, 5
Charlie Rich, 1
Zhenda Tian, 1
Clive Francis, 2
Tinsel Korey, 1
George Thomas, 1
Michaël Couvreur, 1
Dick Van Patten, 16
Seamus Moran, 2
John Neville Rufus Altman, 1
John Carroll Lynch, 21
Herbert Rudley, 2
Ed Wiley, 3
Charles Lanyer, 1
Carmel Betto, 1
Chuck Montgomery, 2
Grant Nickalls, 2
Tammy Blanchard, 2
Dan Schultz, 1
Shelby Alexis Irey, 1
Carolyn Pickles, 1
Leighton Meester, 4
Peter Helm, 1
Isabel Ruth, 2
Dorothy Fielding, 1
Gregory Ratoff, 2
Daniel Wesley, 2
Eric Rath, 1
Harvey Brumfield, 1
Aitana Sánchez-Gijón, 6
Ahnee Boyce, 1
Dorit Wolf, 1
Adrian Amadeus, 1
Judit Pogány, 1
José Maria Cano Ramos, 2
Amber Lynn, 2
Morgan Paull, 12
Sid, 1
David Bush, 1
Oprah Winfrey, 13
Steven Rivera, 1
Michael Fox, 3
Jodi Hicks, 2
Michael MacCleod, 2
Bill Rosier, 1
Billy Schneider, 2
Nadia Sawalha, 1
Tamara De Treaux, 1
E.J. Rodriguez, 2
Farouk Valley-Omar, 1
Muriel Hogue, 1
John Karlsen, 1
Muni, 4
Barbara Dodd, 2
Wei Zhao, 4
Zita Görög, 6
Sarah Taylor, 1
Aidee Gonzalez, 1
Stephen Mailer, 6
Thomas Ryan, 2
Ron Perlman, 35
Teresa Delgado, 4
Ulrich Matschoss, 1
Ryan Wynott, 2
Charles Lewsen, 1
Helga Liné, 2
Fred Norris, 3
Mimsy Farmer, 2
Mike McLaughlin, 1
Michael Rupert, 1
Blythe Danner, 28
Chip Heller, 1
Charles Furneaux, 2
Roberto Contreras, 1
Tom Davey, 2
Alan Davidson, 3
Pat Kilbane, 3
Debbie Welsh, 1
Giami, 1
Saturnin Fabre, 1
Luciano De Ambrosis, 2
Michael Michele, 11
Myriam Cyr, 6
Gwen Smith, 1
Nezumi Imamura, 1
Saverio LoMedico, 1
Barry Bostwick, 7
Jin Chen, 1
Edward Judd, 4
Tracy Morgan, 6
Adam Baldwin, 17
Barney Phillips, 1
Thierry Bosc, 1
Patricia Raine, 1
Marcus Dunstan, 1
Brandon Stouffer, 1
Janine Perreau, 1
William Henry, 2
Anthony Rapp, 13
Conrad Coates, 3
Mari Hamada, 1
Igor Sas, 1
Loni Love, 2
Minnie Gentry, 5
Simón Andreu, 7
Retta, 1
Dora Bryan, 2
Tim Allen, 21
Shinji Takeda, 3
Álex González, 5
Daphne Anderson, 1
Ivy Jones, 3
Julia Migenes, 1
Robert C. Kirk, 2
Anna Simpson, 1
Svea Holst, 3
Maxine Stuart, 1
Steven Mackintosh, 15
Tina Cote, 3
Daniel Couturier, 2
Jay Patterson, 7
Kyung-yeun Hong, 1
Leonard R. Garner Jr., 1
John Sylvain, 1
Scott McPhail, 1
Guido Mannari, 2
Chantal Neuwirth, 5
Louis Guss, 6
Tommy Tune, 1
Cerris Morgan-Moyer, 1
Andrea Morris, 4
Winston Dennis, 2
Richard McGonagle, 4
Anna Nagata, 1
Guillermo Battaglia, 1
Synval Silva, 1
Sean Tataryn, 1
Virginie Emane, 1
George Poulos, 1
Megumi Hayashibara, 6
Laraine Newman, 11
Shimon Aviel, 2
Marcia Ann Burrs, 1
Wolfgang Bodison, 5
Andee Cromarty, 1
Tyler Bowe, 1
Lana Morris, 1
Harry Hutchinson, 2
Christian Erickson, 2
Sal Richards, 2
Bobby C. Collins, 1
Richard Travis, 1
Deborah Wittenberg, 2
Russell Hardie, 1
Kosuke Toyohara, 3
Chris Geere, 1
Steve Itkin, 2
Kim August, 1
Mars, 1
Heather Lindell, 1
Justin Laboy, 1
Jed Curtis, 1
Carlos Larrañaga, 1
Sharron Alexis, 1
Serge-Henri Valcke, 4
Jukka Hiltunen, 5
Sam Hiona, 1
Valerie Bertinelli, 1
Andrew Whaley, 2
Polly Platt, 2
Mick Ford, 1
Owen McKenna, 1
Seok Kang, 1
Virginia Warwick, 1
Doria Cook-Nelson, 1
Bob Wilson, 2
Dan Johnson, 1
Sean McGinley, 10
Fred Melamed, 3
Llyr Joshua, 1
Noelle Parker, 1
Kimberly McArthur, 1
Wendell Smith, 1
Jay Koch, 2
Ariel Mateluna, 1
Mihály Pálfi, 1
Kaarin Fairfax, 1
Melanie Miller, 1
Napoleon Simpson, 1
Ann Dere, 1
Rachel Howard, 1
Eliott Goretsky, 2
Rick Gonzalez, 8
Scout Taylor-Compton, 5
Nate Miller, 2
Jeneva Talwar, 1
Nancy Plank, 1
Laurence Coven, 2
Jeremy Geidt, 1
Mike Freeman, 1
Taylor Lacher, 2
Chief Sky Eagle, 1
Leonard Mann, 1
David Trengrove, 1
Rino Thunder, 1
Robert Barrat, 6
Len Berdick, 1
Alan Curtis, 2
Kerri Higuchi, 1
Michelle Johnston, 4
Henry Stolow, 2
Liza Cruzat, 1
Redman, 1
Jack Taylor, 4
Elina Löwensohn, 8
Raye Hollitt, 1
Kit Harington, 1
Sully Boyar, 9
Tanja Ribic, 2
Einstein Brown, 1
John Oswald, 1
Joe Flaherty, 17
Marie Butler, 1
Crocker Nevin, 1
Lisa Cain, 2
Michael Lamone Bivins, 2
Carmen Electra, 17
Michael Lambourne, 1
Maggie Gyllenhaal, 14
Matthew Glave, 7
Emma Griffiths Malin, 3
Hugo Speer, 3
Max Valerio, 1
McKenzie Satterthwaite, 1
Brian Lipson, 1
Leagh Conwell, 1
Cookie, 1
Leticia Dolera, 1
George Condo, 1
Dana Snyder, 1
Robert Agins, 2
Billy Shepard, 1
Lisa Benavides, 3
Aoi Nakajima, 1
Elsa Raven, 4
Andreas Petri, 3
Sam Weisman, 2
Aaron Williams, 1
Jean-Pierre Marino, 1
Lilli Palmer, 6
Daniel Chodos, 3
Patricia Place, 2
Lester Sharpe, 2
Gerry Vichi, 2
Alessandra Chiti, 1
Karen Robson, 3
Robert Gurland, 1
Gerri Reddick, 1
Evan Lionel, 1
Margaret Nagle, 2
Marília Pêra, 2
Kathryn Beaumont, 4
Antonello Grimaldi, 1
Joshua Cox, 6
Boyd Nelson, 1
Sid Abrams, 2
D. David Morin, 3
Gaye Shannon-Burnett, 1
Pat Somerset, 1
Liam James, 1
Richard Jeni, 6
Mare Mlacnik, 2
Alexandra Wilson, 2
Elena Rea, 1
Rodney Eastman, 8
Zara McDowell, 2
Olga Georges-Picot, 2
Nathaniel Lee Jr., 2
Art Garfunkel, 9
Ron Athey, 1
Marianne Denicourt, 1
Charlie Jones, 1
Kleoka Renee Sands, 1
John Kelly, 5
Mary Clare, 3
Carl J. Matusovich, 2
Christine Pielmeier, 1
Meghan Douglas, 1
Maurice Moscovitch, 2
Chrissie Cotterill, 1
Joan Sheehy, 2
Jeni Le Gon, 1
Mxolisi Hulana, 1
Telise Galanis, 1
Gerry Hammond, 3
John Slade, 1
Faran Tahir, 3
Emily Weedon, 2
M. Lynda Robinson, 1
Chuck Cain, 1
Mary Astor, 6
Ben McIvor, 1
Kazuyoshi Minamimagoe, 2
Hoi-Shan Lai, 1
Stephen Bishop, 3
Veljko Otasevic, 1
Jo Allen, 3
Mark Moses, 6
Liam Herbert, 1
Charles Chaplin, 12
Léa Gabriele, 1
Gordon McMurray, 1
Lisa Vischer, 1
Shakti Shannon, 1
Manu Narayan, 2
Gregg Martell, 1
Kurt James Stefka, 2
Han Lei, 1
Indianern der Kooperative Lauramarca, 2
Theresa Saldana, 4
Brad Renfro, 14
Marina Kakhiani, 1
Jürgen Andreas, 1
Ida Moore, 3
Louis Mahoney, 2
Greg Berg, 1
Chet Anekwe, 1
Tiana Alexandra, 1
Albie Woodington, 4
Carrie Dobro, 1
Sara Goethals, 1
Glenn Robbins, 1
David Fishley, 1
Lee Nashold, 1
David Schwartz, 3
Charles Winninger, 3
Le Quellec, 1
Sally Cahill, 2
Pam Ferris, 9
Robert Sully, 1
Luise Grossová, 1
Ernesto Sarezale, 1
Joannah Portman, 1
Aaron Griffin, 1
Vincent Ball, 7
Gonzalo Mauro Montiel Aguirre, 1
Bob Stephenson, 4
Kar-Ying Law, 1
Linda Ellerbee, 1
Jerry Phillips, 1
Rick Shapiro, 1
Rebecca Morrin, 1
Edwin De Leon, 1
Melody Garrett, 1
Jesús Garay, 1
Vicky Messica, 1
Rossana Rory, 3
David King, 1
Trevor Galtress, 3
Don Draper, 1
Chalo González, 2
Myron Primes, 1
Terry Jarrosak, 1
Alex Haw, 1
Huai Dessom, 1
Gena Rowlands, 24
Sofia Vassilieva, 1
Geraldine Muir, 2
Kevin Stillwell, 1
Leif Tilden, 2
Samuel Gould, 1
Miki Sanjô, 1
Dana Ashbrook, 7
Zakir Hussain, 2
Javier Grajeda, 1
Tien-chu Chin, 1
Ben Hiura, 2
Sheila Mokhtari, 2
Glen Matlock, 1
Isabelle Fuhrman, 1
Nicholas D'Agosto, 1
Ruth Springford, 1
Dieter Brandecker, 1
Odette Annable, 2
Emily Hart, 1
Ashlynn Dapper, 1
Elga Andersen, 1
John Brandon, 4
Ron Karabatsos, 4
Anna Hoelck, 2
Nellie Sciutto, 1
Gregory Paul Martin, 3
Cheong-ho Jo, 1
Liù Bosisio, 1
Shijin Li, 1
Toni Collette, 26
Orlando 'Cachaíto' López, 1
Joe Mantell, 6
Bob Hope, 9
Rudolf Klein-Rogge, 3
Brad Culver, 1
Paula Hill, 2
Sarah Keller, 2
Gildas Chotard, 1
Janis Pinnock, 1
Geli Albaladejo, 1
Gianna Paola Scaffidi, 1
Billy Sparks, 2
Richard Ward, 6
Wendy Hamilton, 1
Eugenie Besserer, 1
Earle Lyon, 1
Hugh Herbert, 1
Laura Esterman, 2
Alex Lee, 1
Mircea Anca Jr., 1
Jerry Jumonville, 1
Sam Grisman, 1
François Cluzet, 6
Luis Alberto Martínez, 3
Owen Orr, 2
Haruo Tanaka, 3
Peter Keleghan, 2
Jerry Dexter, 1
Bernard Barrow, 1
David Crean, 1
Cheryl Burr, 1
Roger Kemp, 3
Eddie McClintock, 1
Sabrina Grdevich, 5
Yongning Zhang, 1
Tuncay Akça, 1
Natacha La Ferriere, 1
Gareth Jefferson, 2
Vince Davis, 1
Miranda Edwards, 1
Kirk Douglas, 21
Forbes Angus, 3
Chris Logan, 3
Gloria LeRoy, 5
Bonnie Rose, 1
Raymond Amezquita, 3
Gaby Dohm, 1
Lola André, 1
Arturo Armone Caruso, 1
Peggy Jane de Schepper, 1
Jennie Eisenhower, 3
Sergi Ruiz, 1
Caroline Houck, 3
Jo Brand, 1
Donald G. Jackson, 1
Ken Johnson, 2
Alessandra Bonarotta, 1
Barbara Boxer, 1
Anne-Caroline Suberville, 1
Mohamed Akhzam, 1
Stevo Polyi, 2
Kaleena Justiniano, 1
Oren Stevens, 1
Stefano Sibaldi, 1
Merrill Connally, 2
Jeremy Childs, 2
Celaleddin Enis Doruk, 1
Blake Stokes, 1
Lance Gordon, 2
Joshua Jackson, 12
Didi Mancuso, 2
Harriet Medin, 5
Veronica Hamel, 2
Chuck Pfeiffer, 2
Marianna Jacobi, 1
Richard Monette, 1
Russi Taylor, 18
Terence Maidment, 1
Carlos Riquelme, 3
Tom Hillmann, 3
Peter Matic, 1
Dominique Colladant, 1
Sophie Quinton, 1
Marcel Cerdan, 1
Mark Brandon, 1
B.J. Brown, 1
Charles Siebert, 2
The Blonde Fox, 2
Asta August, 1
John Furey, 2
Rosemary De Angelis, 4
Norman Burton, 10
Ina Balin, 3
Ivor Barry, 4
James Arness, 1
Amy Levitt, 4
Marja-Leena Junker, 4
Emily Joyce, 2
James Marshall Case, 1
Sue Wallace, 1
Gary Shail, 2
William Murray Weiss, 2
Fuddle Bagley, 1
Jeff Prettyman, 2
Margarito Mendoza, 1
Tony Noble, 3
Richard Reeves, 1
Douglas McFerran, 5
Tamara Cretulescu, 1
Nandjiwarra Amagula, 2
Phoebe Strole, 1
Donzaleigh Abernathy, 1
Joan Carroll, 2
Florence Muller, 1
Ute Lemper, 1
Shari Nims, 1
Sally Field, 34
Boyd Irwin, 1
Alex Vincent, 4
Fred Krone, 1
Rob Locke Jones, 1
Madam Alex, 1
Sophie Main, 1
Bob Papenbrook, 2
Bill Hunter, 8
Raizô Ichikawa, 1
James Bolam, 3
Will Sampson, 8
Martha Gehman, 5
Grégoire Aslan, 5
Shelley Winters, 24
Noël Godin, 1
Megan Leitch, 1
Linda Clark, 1
Patty Duke, 3
Ivan Lukac, 1
Yaël Abecassis, 1
Yaman Okay, 1
Rex Allen, 2
Jill Carroll, 2
John Rummel, 1
Cassie Cook, 2
Lily Farrell, 1
Frédéric Payen, 1
Matt O'Leary, 10
Rusty Tennant, 1
Katrin Cartlidge, 8
Tom Lycos, 1
Jules Desjarlais, 3
Guillermo Toledo, 4
Anna Katarina, 7
Mark Zycon, 2
Laurence Roy, 1
Laura Leigh Hughes, 2
Joshua Harto, 1
Grace Chatto, 1
Clark Gable, 7
Choy Chang Wing, 1
Harry Shearer, 23
Joan Jaffe, 2
Gerard Barray, 1
Martin Golar, 1
Christo, 1
James S. Baker, 1
Ben Vereen, 5
Tom Kane, 6
Simon Mattacks, 1
Alexandra Ladikou, 1
Maeve Quinlan, 2
Rob Playford, 1
George Webster, 2
Teddy Reddy, 1
Hyeong-il Kim, 1
Jayne Heller, 3
Enrica Maria Modugno, 1
Julio Vélez, 1
Don Novello, 10
Hermine Demoriane, 1
Martin O'Neil, 1
Yu-jin Lee, 1
Brooke Tansley, 1
Martin Neufeld, 2
Kristina Adolphson, 3
Christophe Salengro, 1
William Hansen, 3
Lhakpa Dorji, 2
Stéphane Di Napoli, 1
Itaco Nardulli, 1
Aidan Kelly, 1
Patricia Kell, 1
Peggy McIntaggart, 1
John Carradine, 34
June Christopher, 5
Gary Pettinger, 1
Alvin William 'Dutch' Lunak, 1
Murdoch MacDonald, 2
Frank Maxwell, 3
Patrick Préjean, 2
Ralph Coppola, 1
Giancarlo Badessi, 2
Aleksei Ananishnov, 1
Joseph Tello, 2
Chuck Hohn, 1
Natalya Reva-Ryadinskaya, 2
Richard X. Slattery, 3
Sandy Ninja, 1
Catherine Benguigui, 4
Babs Bram, 2
Micheline Larpin, 1
Steve Mousseau, 1
Zachary Ansley, 2
Lee Remick, 13
Jan Leslie Harding, 2
Buck Taylor, 4
Tim Gilbert, 1
Shigeru Muroi, 1
Kurt Katch, 3
Fiona Roeske, 1
Jay Montgomery, 1
Anna Chennault, 1
Bill Flynn, 1
Jonah Coombes, 1
Carl Bernstein, 1
Claude Miller, 1
Melanie Adams, 1
Zara Turner, 3
Dave Thomas, 6
Mark Rolston, 18
Nicole Calfan, 3
Sarah Bridges, 1
Rush Randle, 1
Antoine Roblot, 1
Amy Pietz, 1
Alun Armstrong, 20
Fabiola Quiroz, 1
Kevin Ruf, 1
Stefan Wenta, 1
Frank Middlemass, 3
Jacques Sereys, 2
Jemaine Clement, 1
Brandon Lacroix, 1
Wade Allain-Marcus, 1
Gabriele Ferzetti, 9
Anthony Galea, 1
John Callahan, 1
Camille Chen, 1
Jim Healy, 2
Gary Goodrich, 1
Harvey Fierstein, 21
Marc McClure, 14
Derrick May, 1
Lorrie Lightle, 2
Ken Gibbel, 3
C. Thomas Howell, 21
Rowan Woods, 1
Katherine Cortez, 4
David Stackpole, 1
Jan Vlasák, 1
Susumu Kurobe, 2
Jonny Fido, 1
Kevin Foster, 1
Sharon Gless, 1
Yehuda Efroni, 4
Michael Glass, 1
Bing Stafford, 1
Dorothy Malone, 11
Irene D'Agostino, 1
Tim McGrath, 1
Nick Offerman, 1
Michelle Byatt, 1
Richard Bakalyan, 10
Teddy Robin Kwan, 2
Anne-Marie Philipe, 1
Matthew Broderick, 44
Bert Conway, 1
Sang-rok Chu, 1
Christian Aubert, 7
David Herman, 16
Katarzyna Bargielowska, 2
Jennie Moreau, 1
Claudia Michelsen, 1
Chase Ellison, 5
Yadigar Ejder, 1
Pat Evison, 1
Geraint Roberts, 1
Agnes Moorehead, 10
David O'Brien, 3
Candis Cayne, 1
Allegra Di Carpegna, 1
Christopher Bevins, 1
Charles Moore, 2
Natasha Richardson, 15
Clarence Nash, 2
Martin Freeman, 6
Hale Caneroglu, 1
Joshua Cadman, 3
Sam Levene, 9
Lindsey Ginter, 5
Alexis Sánchez, 1
Charles Carson, 2
Morris Lalara, 2
Jon Finch, 3
Fidelis Morgan, 1
Deborah Loates, 1
Michael Girardin, 2
William Tannen, 1
Edith Boulogne, 1
Chad Gundersen, 1
Daniel Badale, 1
Bill Boggs, 4
Earl Boen, 22
Tracy Campbell, 1
Paz de la Huerta, 8
Mosko Alkalai, 1
Jayne Meadows, 7
Sean Blakemore, 1
June Whitfield, 2
Bruce Evers, 2
Santiago Douglas, 1
